date,amount,currency,vendor,source
2018-06-24,47.9,USD,6910 E SUNRISE DR,1177-receipt.jpg.json
2012-01-13,83.44,USD,Blue Bear Tavern,1142-receipt.jpg.json
2019-01-12,44.35,USD,"Laurel Tavern, 1220 Hermosa Beach, Hermosa Beach, CA 90254",1031-receipt.jpg.json
2018-12-31,58.3,USD,CHARLES,1196-receipt.jpg.json
2017-04-27,61.8,USD,VIA EMILIA 9,1132-receipt.jpg.json
2013-08-12,13.26,USD,"Rihanna's Caribbean Restaurant, 12709 Beechnut St STE100, Houston, TX 77072",1146-receipt.jpg.json
2018-06-02,29.96,USD,"Golden Panda Buffet, 14428 Ramona Blvd. #70, Baldwin Park, CA 91706",1113-receipt.jpg.json
2018-03-18,67.89,USD,"149 Mineola Blvd, Mineola, NY 11501",1098-receipt.jpg.json
2019-08-08,6.56,USD,"SURATI FARSAN MART, 11814 186TH STREET, ARTESIA, CA 90701",1082-receipt.jpg.json
2018-12-28,83.64,USD,"Firefly American Bistro, 5525 New Albany Road West, New Albany, OH 43054",1124-receipt.jpg.json
2018-09-25,46.98,USD,"223 N. Citrus Ave, Covina, CA 91723",1096-receipt.jpg.json
2017-05-12,45.58,USD,"2441 Van Horn Ave, Suite 100",1019-receipt.jpg.json
2018-07-01,125.99,USD,Trattoria Saporito,1084-receipt.jpg.json
2019-01-15,13.22,USD,5 FAIR Oaks Ave,1073-receipt.jpg.json
null,30.58,USD,519 Fulton Ave. Hempstead NY,1055-receipt.jpg.json
2017-09-10,71.58,USD,Heart of Portugal Restaurant,1121-receipt.jpg.json
2023-03-14,32.47,USD,,1053-receipt.jpg.json
2018-10-06,33.75,USD,"1805 Parker Rd Suite G110, 18C5 Parker Rd (678) 690-2005",1195-receipt.jpg.json
2017-10-25,14.17,USD,"27000 Marine Ave #103, Redondo Beach, CA 90278",1137-receipt.jpg.json
2018-07-22,51.82,USD,"7701 Atlantic Ave, Cudahy, CA",1026-receipt.jpg.json
2017-05-04,228.92,USD,"Pita Pita - Lombard, 211 E Roosevelt Rd, Lombard, IL 60148",1085-receipt.jpg.json
2017-06-16,30.15,USD,"Thai GUSTO, 2011 Hewitt Ave, Everett WA 98201",1023-receipt.jpg.json
2017-07-10,33.34,USD,"12247 Sheridan St, Cooper Cityb, FL 33026",1160-receipt.jpg.json
2015-04-25,69.25,USD,GRAND LUX CAFE,1001-receipt.jpg.json
2019-08-23,21.76,USD,El Gato Negro,1123-receipt.jpg.json
2019-07-14,82.0,EUR,RISTORANTE BELLAGIO (CO),1066-receipt.jpg.json
2012-04-27,2.17,USD,"IN-N-OUT BURGER SANTA CLARA, 1761 262 1110",1018-receipt.jpg.json
2019-05-19,29.98,USD,MOD Pizza,1191-receipt.jpg.json
2017-07-15,79.17,USD,"Rosebud on Rush, 720 North Rush Street, Chicago, IL",1115-receipt.jpg.json
2018-07-02,235.19,USD,"56 Scranton Ave, Falmouth, MA 02540",1079-receipt.jpg.json
2017-12-20,47.09,USD,BOA,1130-receipt.jpg.json
2023-06-26,64.43,USD,Quick 73,1011-receipt.jpg.json
2016-10-04,10.7,USD,GENERAL POOR'S TAVERN,1051-receipt.jpg.json
2018-02-13,17.18,USD,"HIRO JAPANESE RESTAURANT, 3007 NE 163RD STREET, North Miami Beach, FL 33160",1129-receipt.jpg.json
2018-08-18,160.07,USD,"1236 S Wolfe Rd, Sunnyvale, CA 94086",1110-receipt.jpg.json
2019-06-16,50.38,USD,Spiral Diner & Bakery,1187-receipt.jpg.json
2017-12-28,37.6,USD,"590 Clover Lane, Ashland, Oregon",1058-receipt.jpg.json
2016-04-15,16.24,USD,"204 Spring St, New York, NY 10012",1102-receipt.jpg.json
2018-01-28,52.06,USD,"Go Mongo BBQ, 6661 Stanford Ranch Rd. Rocklin, CA 95677",1108-receipt.jpg.json
