date,amount,currency,vendor,source
2019-03-19,19.1,USD,"CHATPATA RESTAURANT INC, 1683 ROUTE 9, CLIFFTON PARK, NY 12065",1125-receipt.jpg.json
2023-01-03,97.29,EUR,STANWAY'S,1192-receipt.jpg.json
2017-03-10,50.29,USD,Hammocks Trading Company,1015-receipt.jpg.json
2018-07-21,77.83,USD,"22 Haverhill Rd, Windham, NH",1010-receipt.jpg.json
2023-10-11,14.00,EUR,"IKEA, IKEA Wien Neves 185",1156-receipt.jpg.json
2017-12-22,27.44,USD,"Panda Express #2614, Brooklyn, NY",1119-receipt.jpg.json
2019-04-10,13.13,USD,"The Shawarma Factory, 14817 S. Western Ave, Gardena, CA 90249",1136-receipt.jpg.json
2015-06-06,33.92,USD,"14727 S Rinaldi St, San Fernando, CA 91340",1024-receipt.jpg.json
2019-05-18,46.73,USD,Uncle Julio's,1033-receipt.jpg.json
2019-02-23,48.53,USD,"Loaded Cafe, 15700 Bellflower Blvd, Bellflower, CA 90706",1014-receipt.jpg.json
2017-05-25,32.66,USD,FIVE GUYS,1090-receipt.jpg.json
2017/09/19,10.81,USD,"Calle 204, Av. Ernesto Tumbe",1087-receipt.jpg.json
2017-04-20,5.35,USD,El Gran Mar de Plata,1003-receipt.jpg.json
2017-11-24,28.31,USD,CHRIS'S HAMBURGERS,1131-receipt.jpg.json
2017-01-07,42.16,USD,"Pappadeaux Seafood Kitchen (612)
7600 Airport Blvd (HOU)
Houston, TX 77061",1166-receipt.jpg.json
2017-03-19,9.5,USD,"1717 DUTCH BRDY ELMONT, NY 11003",1032-receipt.jpg.json
2019-01-11,44.31,USD,"Longboards, 92-161 Waipahe Place, Kapolei, HI 96707",1027-receipt.jpg.json
2015-08-22,46.39,USD,Delmonico's Italian Steakhouse,1169-receipt.jpg.json
2016-07-08,21.73,USD,KFC,1134-receipt.jpg.json
2017-07-16,144.28,USD,"4323 Hazel Avenue, Fair Oaks, CA 95628",1107-receipt.jpg.json
2017-06-10,7.55,USD,"LANDFALL RESTAURANT, APRIL TO DECEMBER",1059-receipt.jpg.json
2023-09-29,146.57,USD,MOONSTAR RESTAURANT,1133-receipt.jpg.json
2018-12-29,16.23,USD,"Pokeatery CV, 18911 Lake Chabot Road, Castro Valley, CA 94546",1094-receipt.jpg.json
2016-05-26,56.58,USD,"GREEN FIELD, 5305 E PACIFIC COAST HWY Long Beach, CA 90804",1000-receipt.jpg.json
2015-08-30,5.29,USD,"180 Eastern Boulevard, Canandaigua, NY 14424",1149-receipt.jpg.json
2015-06-02,39.18,USD,FRENCH CAFE & WINE BAR,1126-receipt.jpg.json
2018-05-11,28.78,USD,"CITY TASTE, 930 WAYNE AVE #100 SILVER SPRING, MD 20910",1091-receipt.jpg.json
2017-01-21,11.91,USD,Gourdough's Public House,1178-receipt.jpg.json
2016-04-07,439.85,USD,"DEL FRISCO'S S #8620, 1221 Avenue of the Americas New York, New York 10020",1181-receipt.jpg.json
2018-09-07,17.8,USD,"Yogurtland, 12502 North Kendall Drive, Miami, FL 33186",1038-receipt.jpg.json
2019-03-03,52.47,USD,Primo Family Restaurant,1186-receipt.jpg.json
2013-07-07,7.27,USD,McDonald's Restaurant #3100,1025-receipt.jpg.json
2014-03-22,13.03,USD,"MOOYAH Burgers, Fries & Shakes #199",1088-receipt.jpg.json
2014-10-21,313.49,USD,"Gordon Ramsay Steak, Paris Las Vegas",1153-receipt.jpg.json
2018-11-05,143.71,USD,"2818 Hewitt Ave, Everett, WA 98201",1007-receipt.jpg.json
2016-04-24,11.04,USD,UMIX,1017-receipt.jpg.json
2018-07-21,25.78,USD,"Paradise Restaurant, 889 W. 190th Street, Los Angeles, CA 90248",1076-receipt.jpg.json
2016-12-03,26.96,USD,"1130 North Higley Rd Suite#7-102, Mesa, AZ 85205",1188-receipt.jpg.json
2019-07-26,47.02,USD,"Deccan Spice, 771 Newark Avenue, Jersey City Local, NJ 07306",1020-receipt.jpg.json
